madde_no,madde_baslik,token_count,unique_token_count,sentence_count
250,Eşlerden biri tarafından paylaşmalı mal ayrılığı rejiminin kurulmasından sonra edinilmiş olup ailenin ortak kullanım ve yararlanmasına özgülenmiş mallar ile ailenin ekonomik gelec eğini güvence altına almaya yönelik yatırımlar veya bunların yerine geçen değerler,77,68,4
251,Eşlerden biri,76,64,4
252,Zina veya hayata kast nedeniyle boşanma h,22,21,2
253,Paylaştırmanın ayın olarak yapılması asıldır,82,77,7
254,Evliliğin iptal veya boşanma kararıyla sona erdirilmesi h,176,126,8
255,Eşlerden birinin ölümü h,109,88,5
256,Mal ortaklığı rejimi,17,13,2
257,Genel mal ortaklığında eşlerin kanun gereğince kişisel mal sayılanlar dışındaki malları ile gelirleri o rtaklık mallarını oluşturur,44,38,4
258,Eşler,24,23,3
259,Eşler,39,36,3
260,Kişisel mal lar,55,48,4
261,Bir eşin kişisel malı olduğu ispatlanmadıkça tüm malvarlığı değerleri ortaklık malı sayılır,22,19,2
262,Eşler,27,26,3
263,Olağan yönetim dışında kalan konularda eşler,51,48,3
264,Eşlerden biri,29,26,2
265,Eşlerden biri,51,49,3
266,Mal ortaklığının sona ermesi h,62,51,5
268,Eşlerden her biri,67,52,2
269,Her eş,27,27,3
270,Mal rejimi eşler arasındaki borçların muaccel olmasını önlemez,55,50,4
271,Mal rejimi eşlerden birinin ölümü,61,50,4
272,Eşlerden birine sosyal güvenlik veya sosyal yardım kurumlarınca yapılmış olan toptan ödemeler veya iş gücünü n kay bı dolayısıyla ödenmiş olan tazminat,76,62,2
273,Bir eşin kişisel mallara ilişkin borçları,45,35,4
274,Bir eşin kişisel malı veya ortaklık malıyla bir başka mal kesimine giren malvarlığı değerinin edinilmesi,35,32,2
275,Mal rejimi sona erince,23,22,2
276,Eşlerden birinin ölümü veya diğer bir mal rejiminin kabulü sebebiyle mal ortaklığının sona ermesi h,40,35,4
277,Boşanma veya evliliğin iptali sebebiyle ya da kanun veya mahkeme kararı gereğince mal ayrılığına geçiş h,61,56,4
278,Mal ortaklığının eşlerden birinin ölümüyle sona ermesi h,30,30,2
279,Eşlerin b irlikte yaşadıkları konut veya ev eşyası ortaklık mallarına dahil ise,73,63,4
280,Bir eş,22,20,2
281,Diğer h,31,26,2
282,Çocuk ile ana arasında soybağı doğumla kurulur,36,26,4
283,Soybağına ilişkin davalar,19,19,2
284,Soybağına ilişkin davalarda,73,65,4
285,Evlilik devam ederken veya evliliğin sona ermesinden başlayarak üçyüz gün içinde doğan çocuğun babası kocadır,136,86,8
288,Çocuk,41,40,3
289,Koca,64,54,4
290,Çocuk evliliğin sona ermesinden başlayarak üçyüz gün içinde doğmuş ve ana da bu arada yeniden evlenmiş olursa,39,35,3
291,,94,77,4
292,Evlilik dışında doğan çocu k,23,21,2
293,Eşler,128,87,10
294,Ana ve babanın yasal mirasçıları,62,54,5
295,Tanıma,47,42,4
296,Beyanda bulunulan nüfus memuru,43,35,3
297,Tanıyan,25,23,3
298,Ana,29,27,3
299,Davacı,41,37,3
300,Tanıyanın dava hakkı,127,84,8
302,Davalının,69,60,4
303,Babalık davası,76,63,6
304,Ana,67,62,4
305,Bir küçüğün evl,42,34,3
306,Eşler,84,69,4
307,Evli olmayan kişi otuz yaşını doldurmuş ise tek başına evl,67,54,3
308,Evl,49,36,4
309,Evl,40,31,4
310,Rıza,34,29,4
311,Aşağıdaki h,37,36,2
312,Küçük,85,69,4
313,,95,72,5
314,Ana ve babaya ait olan haklar ve yükümlülü kler evl,182,132,12
315,Evl,66,55,5
316,Evl,85,67,4
317,Yasal sebep bulunmaksızın rıza alınmamış sa,27,27,2
318,Evl,46,43,3
319,Dava hakkı,42,38,4
320,Küçüklerin evl,31,28,3
321,Çocuk,27,24,3
322,Ana,36,28,2
323,Ana ve babadan her biri,22,22,2
324,Ana ve babadan her biri,151,106,8
325,Olağanüstü h,37,36,3
326,Kişisel ilişki kurulmasıyla ilgili bütün düzenlemelerde çocuğun otu rduğu yer mahkemesi de yetkilidir,54,49,4
327,Çocuğun bakımı,53,45,2
328,Ana ve babanın bakı m borcu,44,39,3
329,Küçüğe fiilen bakan ana veya baba,48,37,5
330,Nafaka miktarı,60,54,5
331,Durumun değişmesi h,19,19,2
332,Nafaka davası açılınca h,33,32,3
333,Babalık davası ile birlikte nafaka istenir ve h,27,26,2
334,Ana ve baba nafaka yük ümlülü klerini sürekli olarak ve ısrarla yerine getirmezlerse ya da kaçma hazırlığı içinde bulundukları,53,47,2
335,Ergin olmayan çocuk,39,31,4
336,Evlilik devam ettiği sürece ana ve baba ve l,49,44,4
337,Ana ve baba evli değilse vel,34,31,3
338,Eşler,46,45,2
339,Ana ve baba,71,54,6
340,Ana ve baba,64,52,4
341,Çocuğun din,29,26,4
342,Ana ve baba,43,42,4
343,Vel,31,27,3
344,Vel,39,31,2
345,Çocuk ile ana veya baba arasında ya da ana ve babanın menfaatine olarak çocuk ile üçüncü kişi arasında yapılacak bir hukuk,42,35,2
346,Çocuğun menfaati ve gelişmesi tehlikeye düştüğü takdirde,116,89,6
348,Çocuğun korunma sına ilişkin diğer önlemlerden sonuç alınamaz ya da bu önlemlerin yetersi z olacağı önceden anlaşılırsa,92,78,5
349,Vel,38,34,3
350,Vel,36,32,4
351,Durumun değişmesi h,41,41,3
352,Ana ve baba,38,35,3
353,Evlilik sona erince vel,31,31,2
354,Ana ve baba,16,16,2
355,Ana ve baba,36,32,3
356,Olağan ihtiyaçlar gerektirdiği ölçüde sermaye b içiminde ödemeler,49,41,3
357,Ana ve baba,91,78,4
359,Ana ve baba tarafından bir meslek veya sanat ile uğraşması için çocuğa kendi malından verilen kısmı n veya kendi kişisel kazancının yönetimi ve bunlardan yararlanma hakkı çocuğa aittir,55,45,3
360,Ana ve baba,54,47,3
361,Çocuğun mallarının tehlikeye düş mesi başka bir şekilde önlenemiyo rsa h,65,55,4
362,Ana ve baba,25,22,2
